Comment,Designator,Footprint,LCSC Part #
0.1uF,C5 C6 C8 C9 C10 C11 C12 C13 C16 C17 C18 C19 C20 C22 C23,0402,
1.0uF,C3 C4,0402,
2.2NH,L4,0402,
2.2nH,L2,0402,
2nH,L1,0402,
3.3pF,C21 C24,0402,
4.7K,R11 R12,0402,
5.1k,R1 R2,0603,
8pF,C1 C2 C14 C15,0402,
10K,R4 R6,0402,
10M,R5,0402,
22,R3 R7,0402,
330,R10,0402,
470,R8 R9,0402,
53261-0471,J2,MOLEX_53261-0471,
AP2112K-3.3TRG1,U2,SOT95P285X140-5N,
BME280,U5,PSON65P250X250X100-8N,
BMI055,IC1,QFN50P300X450X100-16N,
ESP32-C3FH4,U1,QFN50P500X500X90-33N,
FC-135_32.7680KA-A0,Y2,XTAL_FC-135_32.7680KA-A0,
MEANDER-ANT,U$1,MEANDER-ANT,
MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,BOOT RESET,TACTILE_SWITCH_SMD_4.6X2.8MM,
RED,D1,LED-0603,
TYPE-C-31-M-12,J1,HRO_TYPE-C-31-M-12,
USBLC6-2SC6,U4 U6,SOT95P280X145-6N,
WS2812B-2020,L3,WS2812B-2020,
X1E000021017700,Y1,CRYSTAL-SMD-3.2X2.5MM,
