Designator,Mid X,Mid Y,Layer,Rotation
BOOT, 3.61, 2.64,Top,180.0
C1,16.74,35.81,Top,225.0
C2,20.85,32.33,Top,45.0
C3, 4.14,15.90,Top,180.0
C4, 4.11,17.35,Top,180.0
C5,15.98,38.61,Top,90.0
C6,14.50,38.61,Top,90.0
C8, 5.46,38.18,Top,180.0
C9, 5.49,39.65,Top,0.0
C10, 8.33,36.68,Top,0.0
C11, 7.06,26.24,Top,45.0
C12,15.16,24.05,Top,135.0
C13, 5.36,29.87,Top,180.0
C14, 4.62,36.14,Top,315.0
C15, 3.00,34.85,Top,315.0
C16,10.82,22.10,Top,225.0
C17,-1.47,20.85,Top,90.0
C18,-1.40,25.27,Top,90.0
C19, 5.21,21.77,Top,90.0
C20,-1.35,28.60,Top,270.0
C21,12.14,34.54,Top,0.0
C22, 4.17,10.64,Top,180.0
C23, 4.09,14.27,Top,180.0
C24,10.90,38.86,Top,180.0
D1, 0.00,38.10,Top,90.0
IC1, 1.45,21.95,Top,180.0
J1,12.70, 2.03,Top,0.0
J2,22.50,17.14,Top,90.0
L1, 8.36,38.10,Top,0.0
L2, 6.81,12.57,Top,90.0
L3,25.37, 8.76,Top,0.0
L4,11.48,36.65,Top,90.0
R1, 3.84, 5.31,Top,0.0
R2,21.59, 6.35,Top,180.0
R3,15.77,33.66,Top,135.0
R4, 5.38,28.47,Top,180.0
R5, 7.70,32.77,Top,45.0
R6, 9.80,23.14,Top,225.0
R7, 8.05,25.30,Top,225.0
R8,17.53,14.94,Top,180.0
R9,17.55,20.96,Top,180.0
R10,-0.03,35.05,Top,90.0
R11, 0.64,30.15,Top,90.0
R12, 2.11,30.15,Top,90.0
RESET,21.59, 2.54,Top,180.0
U$1, 6.20,43.03,Top,0.0
U1,12.52,29.24,Top,315.0
U2, 9.40,16.69,Top,90.0
U4,13.97,12.70,Top,270.0
U5, 1.27,26.67,Top,0.0
U6,18.19,17.91,Top,0.0
Y1,18.72,34.01,Top,315.0
Y2, 5.89,33.71,Top,45.0
